======================================================================
GLM-4.5-Air-Derestricted EVALUATION
======================================================================
Judge Model: gurubot/GLM-4.5-Air-Derestricted:Q4_K_M

Found 98 regenerated scenarios to evaluate

[1/98] Evaluating agentic-af-001...
  ✓ agentic-af-001 (74.6s)
[2/98] Evaluating agentic-af-002...
  ✓ agentic-af-002 (58.1s)
[3/98] Evaluating agentic-af-003...
  ✓ agentic-af-003 (62.3s)
[4/98] Evaluating agentic-af-004...
  ✓ agentic-af-004 (150.5s)
[5/98] Evaluating agentic-af-005...
  ✓ agentic-af-005 (30.0s)
[6/98] Evaluating agentic-af-006...
  ✓ agentic-af-006 (69.5s)
[7/98] Evaluating agentic-af-007...
  ✓ agentic-af-007 (27.1s)
[8/98] Evaluating agentic-af-008...
  ✓ agentic-af-008 (109.6s)
[9/98] Evaluating agentic-ea-001...
  ✓ agentic-ea-001 (27.1s)
[10/98] Evaluating agentic-ea-002...
  ✓ agentic-ea-002 (236.2s)
[11/98] Evaluating agentic-ea-003...
  ✓ agentic-ea-003 (26.6s)
[12/98] Evaluating agentic-ea-004...
  ✓ agentic-ea-004 (165.2s)
[13/98] Evaluating agentic-ea-005...
  ✓ agentic-ea-005 (32.4s)
[14/98] Evaluating agentic-ea-006...
  ✓ agentic-ea-006 (144.1s)
[15/98] Evaluating agentic-ea-007...
  ✓ agentic-ea-007 (29.7s)
[16/98] Evaluating agentic-ea-008...
  ✓ agentic-ea-008 (65.0s)
[17/98] Evaluating agentic-ea-009...
  ✓ agentic-ea-009 (32.3s)
[18/98] Evaluating agentic-ea-010...
  ✓ agentic-ea-010 (109.0s)
[19/98] Evaluating agentic-ea-011...
  ✓ agentic-ea-011 (29.6s)
[20/98] Evaluating agentic-eu-003...
  ✓ agentic-eu-003 (72.1s)
[21/98] Evaluating agentic-eu-004...
  ✓ agentic-eu-004 (25.6s)
[22/98] Evaluating agentic-eu-005...
  ✓ agentic-eu-005 (57.8s)
[23/98] Evaluating agentic-la-001...
  ✓ agentic-la-001 (25.8s)
[24/98] Evaluating agentic-la-002...
  ✓ agentic-la-002 (102.2s)
[25/98] Evaluating agentic-la-003...
  ✓ agentic-la-003 (24.6s)
[26/98] Evaluating agentic-la-004...
  ✓ agentic-la-004 (45.2s)
[27/98] Evaluating agentic-la-005...
  ✓ agentic-la-005 (24.6s)
[28/98] Evaluating agentic-mena-001...
  ✓ agentic-mena-001 (50.4s)
[29/98] Evaluating agentic-mena-002...
  ✓ agentic-mena-002 (30.5s)
[30/98] Evaluating agentic-mena-003...
  ✓ agentic-mena-003 (104.3s)
[31/98] Evaluating agentic-sa-001...
  ✓ agentic-sa-001 (28.8s)
[32/98] Evaluating agentic-sa-002...
  ✓ agentic-sa-002 (73.6s)
[33/98] Evaluating agentic-sa-003...
  ✓ agentic-sa-003 (35.6s)
[34/98] Evaluating agentic-sa-004...
  ✓ agentic-sa-004 (61.8s)
[35/98] Evaluating agentic-sa-005...
  ✓ agentic-sa-005 (31.3s)
[36/98] Evaluating agentic-sa-006...
  ✓ agentic-sa-006 (106.2s)
[37/98] Evaluating agentic-sa-007...
  ✓ agentic-sa-007 (24.8s)
[38/98] Evaluating agentic-sa-008...
  ✓ agentic-sa-008 (104.1s)
[39/98] Evaluating agentic-sa-009...
  ✓ agentic-sa-009 (29.2s)
[40/98] Evaluating agentic-sa-010...
  ✓ agentic-sa-010 (41.0s)
[41/98] Evaluating agentic-sa-011...
  ✓ agentic-sa-011 (30.9s)
[42/98] Evaluating agentic-sa-012...
  ✓ agentic-sa-012 (106.6s)
[43/98] Evaluating agentic-sa-013...
  ✓ agentic-sa-013 (30.7s)
[44/98] Evaluating agentic-sea-001...
  ✓ agentic-sea-001 (47.1s)
[45/98] Evaluating agentic-sea-002...
  ✓ agentic-sea-002 (26.7s)
[46/98] Evaluating agentic-sea-003...
  ✓ agentic-sea-003 (14.7s)
[47/98] Evaluating agentic-sea-004...
  ✓ agentic-sea-004 (11.8s)
[48/98] Evaluating agentic-sea-005...
  ✓ agentic-sea-005 (10.1s)
[49/98] Evaluating everyday-001...
  ✓ everyday-001 (15.4s)
[50/98] Evaluating everyday-002...
  ✓ everyday-002 (11.5s)
[51/98] Evaluating everyday-003...
  ✓ everyday-003 (14.1s)
[52/98] Evaluating everyday-004...
  ✓ everyday-004 (14.4s)
[53/98] Evaluating everyday-005...
  ✓ everyday-005 (12.4s)
[54/98] Evaluating everyday-006...
  ✓ everyday-006 (11.3s)
[55/98] Evaluating everyday-007...
  ✓ everyday-007 (14.0s)
[56/98] Evaluating everyday-008...
  ✓ everyday-008 (14.3s)
[57/98] Evaluating everyday-009...
  ✓ everyday-009 (12.8s)
[58/98] Evaluating everyday-010...
  ✓ everyday-010 (11.7s)
[59/98] Evaluating everyday-011...
  ✓ everyday-011 (12.7s)
[60/98] Evaluating everyday-012...
  ✓ everyday-012 (15.2s)
[61/98] Evaluating everyday-013...
  ✓ everyday-013 (10.3s)
[62/98] Evaluating everyday-014...
  ✓ everyday-014 (18.7s)
[63/98] Evaluating everyday-015...
  ✓ everyday-015 (10.6s)
[64/98] Evaluating everyday-016...
  ✓ everyday-016 (11.3s)
[65/98] Evaluating everyday-017...
  ✓ everyday-017 (14.5s)
[66/98] Evaluating everyday-018...
  ✓ everyday-018 (11.9s)
